p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.75,0.5,82,-1.819355720559743E-16,0,-3.511864974239352E-15
0.75,0.5,83,-1.5816805046091828E-16,0,-3.055837162876776E-15
0.75,0.5,84,-1.3440052886586198E-16,0,-2.599809351514193E-15
0.75,0.5,85,-1.1063300727080599E-16,0,-2.14378154015161E-15
0.75,0.5,86,-8.686548567574992E-17,0,-1.687753728789033E-15
0.75,0.5,87,-6.309796408069372E-17,0,-1.2317259174264523E-15
0.75,0.5,88,-4.148737499148407E-17,0,-8.168471473457968E-16
0.75,0.5,89,-3.64084471856164E-17,0,-7.173523824498858E-16
0.75,0.5,90,-3.1329519379748705E-17,0,-6.178576175539768E-16
0.75,0.5,91,-2.6250591573881013E-17,0,-5.183628526580682E-16
0.75,0.5,92,-2.1171663768013297E-17,0,-4.1886808776215844E-16
0.75,0.5,93,-1.6092735962145605E-17,0,-3.1937332286624893E-16
0.75,0.5,94,-1.1013808156277917E-17,0,-2.1987855797033933E-16
0.75,0.5,95,-8.658274306743844E-18,0,-1.7358282683361686E-16
0.75,0.5,96,-8.048042161558496E-18,0,-1.6137998338715287E-16
0.75,0.5,97,-7.437810016373138E-18,0,-1.4917713994068946E-16
0.75,0.5,98,-6.8275778711877846E-18,0,-1.3697429649422594E-16
0.75,0.5,99,-6.2173457260024064E-18,0,-1.2477145304776215E-16
0.75,0.5,100,-5.607113580817054E-18,0,-1.125686096012988E-16
0.75,0.5,101,-4.996881435631691E-18,0,-1.0036576615483495E-16
0.75,0.5,102,-4.386649290446332E-18,0,-8.816292270837136E-17
0.75,0.5,103,-3.776417145260968E-18,0,-7.596007926190772E-17
0.75,0.5,104,-3.1661850000756106E-18,0,-6.375723581544399E-17
0.75,0.5,105,-2.555952854890251E-18,0,-5.1554392368980414E-17
0.75,0.5,106,-1.945720709704893E-18,0,-3.9351548922516773E-17
0.75,0.5,107,-1.3354885645195323E-18,0,-2.7148705476053148E-17
0.75,0.5,108,-1.0501402485879002E-18,0,-2.1428567286721828E-17
0.75,0.5,109,-9.83659548749502E-19,0,-2.0075695540669083E-17
