% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
45.02361487357953,1.8804285900906973E-12,0,1.6735863622614558E-11
45.13359328785846,1.6940429813862554E-12,0,1.513102754175261E-11
45.24357170213739,1.5253961509552231E-12,0,1.3680808115682919E-11
45.353550116416315,1.3726216318761598E-12,0,1.2369857646102881E-11
45.51279209188724,1.1774354665980827E-12,0,1.0697585619595484E-11
45.67203406735817,1.0095487728645357E-12,0,9.255717381948756E-12
45.831276042829096,8.658919632860782E-13,0,8.011307047363126E-12
45.99051801830002,7.433857781371648E-13,0,6.9357263326993E-12
46.30900196924187,5.500799341955929E-13,0,5.206259755384891E-12
46.54810347809721,4.395756094739822E-13,0,4.199200327093321E-12
46.78720498695255,3.509974343951931E-13,0,3.3864690633739422E-12
47.00239634492236,2.862060488659205E-13,0,2.7898830222921778E-12
47.19606856709519,2.3804224972473975E-13,0,2.343272980427547E-12
47.38974078926802,1.9813179139539352E-13,0,1.9690848069411753E-12
47.58341301144085,1.6510693515031202E-13,0,1.6550258401444854E-12
47.777085233613676,1.377648242406894E-13,0,1.3915971039002067E-12
47.970757455786504,1.1498357131738075E-13,0,1.1702451544551457E-12
48.16442967795933,9.594667174086148E-14,0,9.843306961414782E-13
48.35810190013216,7.997902612136226E-14,0,8.278245965844242E-13
48.55177412230499,6.663719493404527E-14,0,6.960303900322831E-13
48.74544634447782,5.555724091054709E-14,0,5.851978195089938E-13
48.93911856665065,4.636153753182487E-14,0,4.921020977776761E-13
49.13279078882348,3.869460000464755E-14,0,4.1391308936721586E-13
49.32646301099631,3.228259854691868E-14,0,3.4820942182584865E-13
49.520135233169135,2.6932241931989782E-14,0,2.9297224177703807E-13
49.713807455341964,2.2486251096117366E-14,0,2.465283434979839E-13
49.90747967751479,1.878834285985598E-14,0,2.074785700844455E-13
50.10115189968762,1.5693523720981268E-14,0,1.7464253316449978E-13
50.29482412186045,1.3100124142948584E-14,0,1.4702139776139353E-13
50.48849634403328,1.0938485005347679E-14,0,1.237821861298958E-13
50.68216856620611,9.143482756771978E-15,0,1.0422834368501306E-13
50.87584078837894,7.647769128373008E-15,0,8.777414964305151E-14
51.069513010551766,6.394132004352906E-15,0,7.392675350574562E-14
51.263185232724595,5.343071949257045E-15,0,6.227193819304617E-14
