% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration","timeint(0,t,sourceFlux-sinkFlux)"
110.20537708987172,6.958203984835309E-5,0,0.0013017062426819105,-0.003362414048335637
111.20537708987172,6.598085666469545E-5,0,0.001234342940668143,-0.0034301795404977718
112.20537708987172,6.256613880850317E-5,0,0.0011704658693644449,-0.0034944379015252967
113.20537708987172,5.932824634636828E-5,0,0.0011098945327421021,-0.0035553707620003348
114.20537708987172,5.6257916744928085E-5,0,0.0010524578241527308,-0.003613150247578393
115.20537708987172,5.334645311474499E-5,0,9.979935392380884E-4,-0.0036679395367860503
116.20537708987172,5.0585704698379394E-5,0,9.463478654665706E-4,-0.0037198933853160123
117.20537708987172,4.796788429888131E-5,0,8.973749129266284E-4,-0.003769158587334543
118.20537708987172,4.5485529120180676E-5,0,8.509363963940417E-4,-0.0038158743056668004
119.20537708987172,4.313161079624946E-5,0,8.069011353790574E-4,-0.0038601724484630734
120.20537708987172,4.089956406132913E-5,0,7.651447485346221E-4,-0.003902178144445086
121.20537708987172,3.878306308949501E-5,0,7.255492427078382E-4,-0.003942010094195188
122.20537708987172,3.677604505034752E-5,0,6.880027144615026E-4,-0.003979780761934767
123.20537708987172,3.487287450367603E-5,0,6.52399171635257E-4,-0.004015596791663008
124.20537708987172,3.306822629779624E-5,0,6.186380788872999E-4,-0.0040495593512837455
125.20537708987172,3.135698019368918E-5,0,5.866240996383743E-4,-0.004081764378952731
126.20537708987172,2.973426502306277E-5,0,5.562668237919483E-4,-0.00411230281735024
127.20537708987172,2.8195522903200276E-5,0,5.274805237614277E-4,-0.004141260894693545
128.20537708987172,2.6736438430185345E-5,0,5.001839312964746E-4,-0.0041687204144060476
129.20537708987172,2.535286130545933E-5,0,4.742999418732311E-4,-0.004194758941156808
130.20537708987172,2.404085310319427E-5,0,4.497554443734681E-4,-0.004219449989505598
131.20537708987172,2.2796756312278664E-5,0,4.2648110493074545E-4,-0.004242863280026733
132.20537708987172,2.1617083779519956E-5,0,4.0441118683487995E-4,-0.004265064978005907
133.20537708987172,2.0498415766081413E-5,0,3.834833362864274E-4,-0.004286117782219846
134.20537708987172,1.9437613377005695E-5,0,3.636384553321446E-4,-0.004306081093080029
135.20537708987172,1.843174175968174E-5,0,3.4482052089916876E-4,-0.004325011315745776
136.20537708987172,1.7477934585974754E-5,0,3.269763926608049E-4,-0.004342961934255841
137.20537708987172,1.657345943934552E-5,0,3.1005567861029285E-4,-0.004359983626568943
138.20537708987172,1.571578598981036E-5,0,2.940105997460029E-4,-0.004376124449041531
