p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
1,0.5,150,7.30490214156392E-21,0,1.3667582769987214E-19
1,0.75,0,0,0,0
1,0.75,5,1.045537387316423E-10,2.80230143576927E-5,2.5697049000609236E-5
1,0.75,10,4.757516824779808E-9,0.004113780215981016,0.0026426624253070383
1,0.75,15,1.9057791479054666E-7,0.1866186883677999,0.16122026756205352
1,0.75,20,1.1569612110817606E-5,0.006104053382933334,0.043656253041174334
1,0.75,25,4.640198980913218E-5,4.1803896506466095E-5,8.51258460557508E-4
1,0.75,30,2.3201692146312587E-6,7.551051709254534E-9,-5.303026745347041E-5
1,0.75,35,-1.616728330586026E-7,0,-1.1120639862499776E-6
1,0.75,40,-1.0290034651449407E-9,0,-6.59568199276812E-9
1,0.75,45,-6.333113580985803E-12,0,-6.721649713775406E-11
1,0.75,50,-5.369736128495576E-14,0,-6.690736498344933E-13
1,0.75,55,-6.5658066816632E-16,0,-1.0072927082299806E-14
1,0.75,60,-1.1515399142524467E-17,0,-2.2980948250788035E-16
1,0.75,65,-2.5171706284157345E-18,0,-5.0173932244457943E-17
1,0.75,70,-8.897100349336393E-19,0,-1.7716401486017266E-17
1,0.75,75,-3.1982343516345403E-19,0,-6.356129289338153E-18
1,0.75,80,-1.9425212999194247E-19,0,-3.859383152138737E-18
1,0.75,85,-6.8680824820431E-20,0,-1.3626370149393425E-18
1,0.75,90,-2.470274787549897E-20,0,-4.887989581188726E-19
1,0.75,95,-1.5004181822761733E-20,0,-2.967882591263438E-19
1,0.75,100,-5.3056157700245096E-21,0,-1.0477756013381463E-19
1,0.75,105,-1.9087238343625635E-21,0,-3.7578614289663736E-20
1,0.75,110,-1.1593347764575111E-21,0,-2.2816444689279797E-20
1,0.75,115,-4.0994571855245964E-22,0,-8.054275088895945E-21
1,0.75,120,-1.4747531469485774E-22,0,-2.8881317210545013E-21
1,0.75,125,-8.957254062488453E-23,0,-1.7535372073257984E-21
1,0.75,130,-3.166976655491132E-23,0,-6.189426935970999E-22
1,0.75,135,-1.1390582267671736E-23,0,-2.2190098248044325E-22
1,0.75,140,-6.918080517605685E-24,0,-1.3472505165255109E-22
1,0.75,145,-2.445578767539638E-24,0,-4.754912082465914E-23
1,0.75,150,-8.793091390058011E-25,0,-1.7044051103548839E-23
1,1,0,0,0,0
1,1,5,1.6721750010735955E-11,2.80230143576927E-5,2.1780529358751008E-5
1,1,10,7.57918964436744E-10,0.004113780215981016,0.0022742797589018517
1,1,15,3.147823690281179E-8,0.1866186883677999,0.13544563018164288
1,1,20,1.8824612384146438E-6,0.006104053382933334,0.023477457587640835
1,1,25,4.637566123482807E-6,4.1803896506466095E-5,4.324140834141262E-4
1,1,30,1.7278950439365565E-7,7.551051709254534E-9,2.873053067307688E-6
1,1,35,1.455491615055766E-9,0,2.38639781478904E-8
1,1,40,1.2315080088222322E-11,0,-1.0391873610360231E-10
1,1,45,-2.8757812567143276E-13,0,-1.4266075752862355E-12
1,1,50,-2.7657994798357093E-15,0,-1.6881688313038487E-14
1,1,55,-1.14465501471436E-16,0,-7.793207519750875E-16
1,1,60,-1.2991322995907903E-17,0,-9.292182549144772E-17
1,1,65,-4.015217295939626E-18,0,-2.94026838088349E-17
1,1,70,-6.200790366102885E-19,0,-4.7113443268219405E-18
1,1,75,-4.1733246784410426E-19,0,-3.1745158489293347E-18
1,1,80,-2.1458589907791977E-19,0,-1.6376873710367204E-18
1,1,85,-3.333116852244672E-20,0,-2.633964985762878E-19
1,1,90,-2.2436504271304406E-20,0,-1.774978504985582E-19
1,1,95,-1.1541840020162092E-20,0,-9.159920242082891E-20
1,1,100,-1.8016782993957903E-21,0,-1.4783232002809708E-20
1,1,105,-1.2129500528192925E-21,0,-9.963223640652692E-21
1,1,110,-6.24221806242793E-22,0,-5.143215278495689E-21
1,1,115,-9.786330460459024E-23,0,-8.327496492783052E-22
1,1,120,-6.589312745026558E-23,0,-5.612932903438793E-22
1,1,125,-3.3922950295940984E-23,0,-2.898369314094537E-22
1,1,130,-5.338836860432861E-24,0,-4.707139810710454E-23
1,1,135,-3.5951469379201056E-24,0,-3.173038331664537E-23
1,1,140,-1.8514570154073475E-24,0,-1.6389368526186038E-23
1,1,145,-2.924046375469587E-25,0,-2.6694599382966146E-24
1,1,150,-1.9692480480136198E-25,0,-1.7996276188260185E-24
1.25,0,0,0,0,0
1.25,0,5,1.1788596848232469E-7,2.80230143576927E-5,4.793802418550905E-5
1.25,0,10,5.280061235610716E-6,0.004113780215981016,0.005254372133766049
1.25,0,15,3.384194960797715E-4,0.1866186883677999,0.34656840585665855
1.25,0,20,0.018606210857570322,0.006104053382933334,0.7216241423447709
1.25,0,25,0.08143975674074308,4.1803896506466095E-5,0.4294408860239226
1.25,0,30,0.029924117458938353,7.551051709254534E-9,0.1671524487042122
1.25,0,35,0.011481676887050223,0,0.08456057036036084
1.25,0,40,0.005195394963658765,0,0.049704651814733256
1.25,0,45,0.0027115478211504262,0,0.03153681098880365
1.25,0,50,0.0015142257276844321,0,0.020994256313421042
1.25,0,55,9.50121951733789E-4,0,0.01469902799512818
1.25,0,60,6.575847839344494E-4,0,0.01063186475980071
1.25,0,65,4.824062612357407E-4,0,0.007826918841786141
1.25,0,70,3.631431736395545E-4,0,0.005812277416235442
1.25,0,75,2.692215277540939E-4,0,0.004271650223559866
1.25,0,80,1.9467539329044554E-4,0,0.0031045477949000217
1.25,0,85,1.3965833769819422E-4,0,0.0022436248806868785
1.25,0,90,9.951196736850598E-5,0,0.0016072510953480466
1.25,0,95,6.978409641508765E-5,0,0.0011324168016132563
1.25,0,100,4.905114133081323E-5,0,7.977404129383723E-4
1.25,0,105,3.4060037709952845E-5,0,5.544507243627257E-4
1.25,0,110,2.33874966217397E-5,0,3.8053581464289035E-4
1.25,0,115,1.6314325927776806E-5,0,2.6492080312797957E-4
1.25,0,120,1.1620709204317015E-5,0,1.883876209430696E-4
1.25,0,125,8.614709909948466E-6,0,1.3957573874103811E-4
1.25,0,130,6.411804865775412E-6,0,1.0394203452982219E-4
1.25,0,135,4.683235716615373E-6,0,7.595921620371527E-5
1.25,0,140,3.39448459624607E-6,0,5.5095946216763674E-5
1.25,0,145,2.4548546598112386E-6,0,3.986119465241826E-5
1.25,0,150,1.768482526616358E-6,0,2.8719984659033726E-5
1.25,0.25,0,0,0,0
1.25,0.25,5,2.6172149070835707E-8,2.80230143576927E-5,4.1454840136215676E-5
1.25,0.25,10,1.4463419350846154E-6,0.004113780215981016,0.003907826789677855
1.25,0.25,15,5.5036865838670475E-5,0.1866186883677999,0.25344647147240235
1.25,0.25,20,0.002957712875073473,0.006104053382933334,0.24173123418497974
1.25,0.25,25,0.00797003297109677,4.1803896506466095E-5,0.048030535733068556
1.25,0.25,30,0.0013084402462897708,7.551051709254534E-9,0.006650998878717275
1.25,0.25,35,1.1791201708813584E-4,0,9.112666276150112E-4
1.25,0.25,40,1.643914519421378E-5,0,1.4969665048220504E-4
1.25,0.25,45,2.05764939142725E-6,0,2.444703959880567E-5
1.25,0.25,50,2.5283293887846733E-7,0,3.8824074734996035E-6
1.25,0.25,55,4.359727186636303E-8,0,7.220147205078845E-7
1.25,0.25,60,8.09140073027828E-9,0,1.3265246861169164E-7
1.25,0.25,65,1.5326726159783985E-9,0,2.4893255753526054E-8
1.25,0.25,70,2.7581480792530795E-10,0,4.476838045168344E-9
1.25,0.25,75,5.188527119378425E-11,0,8.427794430217438E-10
1.25,0.25,80,9.425994748692927E-12,0,1.5306164387933413E-10
1.25,0.25,85,1.7817046411249888E-12,0,2.8926424343319317E-11
1.25,0.25,90,3.163117141359465E-13,0,5.135592011502011E-12
1.25,0.25,95,5.990270535205967E-14,0,9.725835340704121E-13
1.25,0.25,100,1.0283452887301098E-14,0,1.6695989814820122E-13
1.25,0.25,105,1.909172116478697E-15,0,3.0996785116752523E-14
1.25,0.25,110,4.797539042126703E-16,0,7.78917924396633E-15
1.25,0.25,115,1.6187040384702166E-16,0,2.628094698234621E-15
1.25,0.25,120,6.234623332494549E-17,0,1.0122408514690187E-15
1.25,0.25,125,2.734097071601654E-17,0,4.4390251842348136E-16
1.25,0.25,130,1.383772128198954E-17,0,2.246664750331925E-16
1.25,0.25,135,6.5007962733322045E-18,0,1.0554563245236479E-16
1.25,0.25,140,2.9760646586822845E-18,0,4.831879363094508E-17
1.25,0.25,145,1.7371638997126413E-18,0,2.82042479250315E-17
1.25,0.25,150,1.0754763896276962E-18,0,1.7461221213854554E-17
1.25,0.5,0,0,0,0
1.25,0.5,5,3.1874011042797116E-9,2.80230143576927E-5,2.6750930942292143E-5
1.25,0.5,10,1.7909968548288706E-7,0.004113780215981016,0.0031296302109050556
1.25,0.5,15,8.6044452543768E-6,0.1866186883677999,0.197970403720362
1.25,0.5,20,5.141995544880872E-4,0.006104053382933334,0.09436356295883996
1.25,0.5,25,9.541221469334053E-4,4.1803896506466095E-5,0.00570122262112871
1.25,0.5,30,1.0436510443658697E-5,7.551051709254534E-9,1.0668175678346466E-4
1.25,0.5,35,7.35032562016166E-7,0,5.276651927907917E-6
1.25,0.5,40,2.136363404977025E-8,0,2.363763715651932E-7
1.25,0.5,45,7.361008741764576E-10,0,1.0024436785792383E-8
1.25,0.5,50,4.104059501354973E-11,0,5.968208178518882E-10
1.25,0.5,55,2.493288983036659E-12,0,3.8236616582541856E-11
1.25,0.5,60,1.3108500061493082E-13,0,2.100499691816718E-12
1.25,0.5,65,5.45851928946713E-15,0,9.141674291921336E-14
1.25,0.5,70,9.536519862785446E-16,0,1.5259956018691003E-14
1.25,0.5,75,1.3235279952462772E-16,0,2.1293106807996886E-15
1.25,0.5,80,3.266125599748549E-17,0,5.263374935767969E-16
1.25,0.5,85,9.834788664204425E-18,0,1.586907096454294E-16
1.25,0.5,90,2.82708599321097E-18,0,4.566365451191393E-17
1.25,0.5,95,1.7849689655713355E-18,0,2.883830493610411E-17
1.25,0.5,100,1.0423437194344929E-18,0,1.6842593538933733E-17
1.25,0.5,105,2.997184732976523E-19,0,4.8468821417633794E-18
1.25,0.5,110,1.8925025670265666E-19,0,3.0610453968146816E-18
1.25,0.5,115,1.1051837687083E-19,0,1.7877775313222265E-18
1.25,0.5,120,3.178649703900337E-20,0,5.14509665829773E-19
1.25,0.5,125,2.007202245191147E-20,0,3.2494302611192574E-19
1.25,0.5,130,1.1722039347864715E-20,0,1.8978170887663917E-19
1.25,0.5,135,3.372056243817981E-21,0,5.462039164135283E-20
1.25,0.5,140,2.1294298006269754E-21,0,3.449636855453195E-20
1.25,0.5,145,1.2436157536349908E-21,0,2.0147591390493294E-20
1.25,0.5,150,3.578017066430093E-22,0,5.7988142264546E-21
1.25,0.75,0,0,0,0
1.25,0.75,5,7.237710569225234E-10,2.80230143576927E-5,2.4624834765895568E-5
1.25,0.75,10,3.8246417769511964E-8,0.004113780215981016,0.0026878120665540972
1.25,0.75,15,1.763604464608666E-6,0.1866186883677999,0.16122701217920177
1.25,0.75,20,9.799208713990382E-5,0.006104053382933334,0.04380521688823188
1.25,0.75,25,9.627552058146115E-5,4.1803896506466095E-5,0.0014388952774671755
1.25,0.75,30,4.126051821896363E-6,7.551051709254534E-9,1.4188650978315699E-5
1.25,0.75,35,1.2079481899962767E-8,0,1.961362652012969E-7
1.25,0.75,40,2.711128406438552E-10,0,2.1953709906891007E-9
1.25,0.75,45,1.747357809220289E-12,0,1.9687085522597026E-11
1.25,0.75,50,1.527237689329175E-14,0,2.1341827989615687E-13
1.25,0.75,55,1.5933636149827167E-16,0,2.471377397071332E-15
